Timestamp,Season,Temperature (°C),Humidity (%),Wind Speed (m/s),Sunlight (W/m²),Building Occupancy,Energy Tariff ($/kWh),Energy Consumption (kWh)
55:35.6,Spring,10.25,46.99,3.76,397.41,8,0.11,12.2
55:35.6,Spring,14.93,63.31,8.35,831.17,18,0.11,7.94
55:35.6,Spring,18.11,30.16,16.3,49.07,21,0.13,13.99
55:35.6,Spring,13.65,32.84,3.66,425.33,26,0.1,6.75
55:35.6,Spring,12.8,71.66,4.65,912.1,34,0.13,9.9
55:35.6,Spring,17.24,40.48,12.27,160.47,28,0.08,10.95
55:35.6,Spring,10.36,79.27,1.97,225.57,11,0.07,11.62
55:35.6,Spring,12.81,55.38,2.96,316.16,35,0.08,5.52
55:35.6,Spring,19.91,33.37,9.53,202.44,48,0.12,10.87
55:35.6,Spring,12.22,49.14,2.6,385.2,18,0.09,13.23
55:35.6,Spring,17.9,74.88,4.02,363.29,22,0.05,12.67
55:35.6,Spring,12.9,43.79,8.41,649.3,22,0.14,12.72
55:35.6,Spring,13.99,52.74,16.08,11.08,37,0.23,6.83
55:35.6,Spring,14.69,34.9,0.02,31.46,6,0.23,6.9
55:35.6,Spring,13.56,33.53,7.61,110.92,11,0.27,12.17
55:35.6,Spring,17.01,61.29,17.69,241.71,41,0.15,11.33
55:35.6,Spring,14.34,42.82,4.35,650.24,18,0.18,11.08
55:35.6,Spring,12.29,60.12,2.19,227.34,26,0.3,13.8
55:35.6,Spring,15.3,48.41,10.27,485.75,16,0.12,9.57
55:35.6,Spring,18.06,47.48,11.1,498.06,14,0.27,10.32
55:35.6,Spring,19.99,49.93,15.31,254.88,34,0.24,6.37
55:35.6,Spring,17.7,79.37,0.53,679.05,16,0.25,12.05
55:35.6,Spring,14.36,59.81,2.12,876.28,9,0.13,10.66
55:35.6,Spring,17.63,67.69,13.26,545.52,37,0.28,6.21
55:35.6,Spring,14.29,68.53,4.98,107.73,14,0.12,14.39
55:35.6,Spring,15.14,31.08,10.72,153.22,26,0.07,10.86
55:35.6,Spring,19.67,61.2,4.25,447.05,16,0.06,13.93
55:35.6,Spring,13.5,32.07,16.81,933.44,22,0.1,12.91
55:35.6,Spring,11.15,51.64,0.97,514.71,11,0.13,13.26
55:35.6,Spring,19.15,43.31,2.14,698.18,26,0.06,11.74
55:35.6,Spring,10.84,56.76,5.57,849.14,39,0.13,4.82
55:35.6,Spring,18.35,59.75,9.88,436.93,12,0.12,6.89
55:35.6,Spring,15.32,49.86,1.14,978.03,9,0.12,11.32
55:35.6,Spring,11.15,39.26,13.03,229.27,42,0.13,7.14
55:35.6,Spring,11.12,61.82,2.81,234.99,42,0.05,10.89
55:35.6,Spring,12.29,41.16,14.59,803.14,5,0.15,13.33
55:35.6,Spring,19.1,35.77,6.49,777.98,44,0.13,8.45
55:35.6,Spring,10.03,79.05,6.61,887.32,29,0.11,5.33
55:35.6,Spring,13.01,74.98,15.87,643.19,45,0.23,9.48
55:35.6,Spring,16.04,37.27,16.32,501.91,35,0.19,6.41
55:35.6,Spring,17.9,66.52,3.21,562.74,8,0.11,7.31
55:35.6,Spring,19.9,49.2,17.98,10.98,50,0.3,6.64
55:35.6,Spring,12.52,76.04,19.73,840.98,16,0.27,4.78
55:35.6,Spring,13.99,77,13.96,222.27,9,0.17,7.82
55:35.6,Spring,14.5,56.29,14.01,426.99,24,0.17,6.8
55:35.6,Spring,18.69,77.4,10.65,351.24,12,0.11,6.62
55:35.6,Spring,13.27,50.37,9.37,618.63,16,0.24,8.23
55:35.6,Spring,16.6,40.68,12.33,800.46,5,0.29,7.31
55:35.6,Spring,15.07,68.03,10.97,539.41,43,0.2,14.25
55:35.6,Spring,12.2,46.52,14.83,424.06,41,0.14,11.94
55:35.6,Spring,18.67,31.91,15.84,652.79,33,0.13,13.17
55:35.6,Spring,15.81,37.18,14.73,100.89,16,0.06,7.55
55:35.6,Spring,10.59,65.53,14.15,608.42,29,0.1,8.49
55:35.6,Spring,12.21,51.51,1.72,47.35,15,0.13,6.48
55:35.6,Spring,13.32,33.85,2.9,733.64,14,0.13,10.03
55:35.6,Spring,16.56,67.63,8.13,69.75,25,0.14,8.96
55:35.6,Spring,12.89,62.71,17.79,472.31,25,0.07,7.58
55:35.6,Spring,13.26,44.81,6.89,261.57,14,0.14,5.67
55:35.6,Spring,13.8,59.19,3.67,947.74,9,0.05,4.04
55:35.6,Spring,14.85,63.94,13.91,57.75,12,0.08,12.64
55:35.6,Spring,12.13,77.85,12.6,324.05,184,0.17,12.82
55:35.6,Spring,18.96,65.77,3.17,506.41,71,0.25,12.85
55:35.6,Spring,16.35,68.45,3.2,7.66,79,0.26,11.65
55:35.6,Spring,13.02,69.82,12.03,836.9,178,0.16,15.63
55:35.6,Spring,10.62,65.62,19.41,210.34,144,0.23,11.34
55:35.6,Spring,16.77,49.16,8.43,737.06,142,0.28,16.28
55:35.6,Spring,19.02,61.29,1.25,681.98,90,0.14,15.34
55:35.6,Spring,15.96,48.72,1.34,899.42,177,0.25,8.24
55:35.6,Spring,18.9,54.1,15.83,733.52,88,0.16,13.99
55:35.6,Spring,14.83,49.14,4.32,231.26,72,0.18,6.58
55:35.6,Spring,12.84,34.68,9.16,300.61,200,0.16,13.14
55:35.6,Spring,13.89,62.86,0.94,436.97,12,0.1,14.36
55:35.6,Spring,13.2,64.06,14.29,848.11,5,0.2,11.94
55:35.6,Spring,17.48,67.62,6.36,943.95,27,0.07,10.55
55:35.6,Spring,11.74,51.33,13.26,596.37,20,0.11,11.96
55:35.6,Spring,13.07,63.78,9.47,774.66,8,0.1,3.9
55:35.6,Spring,18.96,42.96,16.98,238.42,23,0.09,13.43
55:35.6,Spring,10.26,57.46,7.15,359.48,26,0.09,9.68
55:35.6,Spring,14.07,75.33,7.48,969.4,28,0.06,12.31
55:35.6,Spring,13.26,70.7,18.92,756.29,18,0.1,5.32
55:35.6,Spring,19.7,46.46,13.01,756.96,8,0.07,12.6
55:35.6,Spring,11.32,41.22,2.22,309.26,15,0.07,11.82
55:35.6,Spring,11.75,37.79,1.97,511.67,11,0.05,13.21
55:35.6,Spring,16.98,55.92,0.31,288.51,16,0.1,9.97
55:35.6,Spring,18.77,73.76,4.6,512.39,81,0.16,6.14
55:35.6,Spring,17.98,37.51,6.12,692.4,153,0.18,8.21
55:35.6,Spring,12.02,63.4,15.66,475.22,102,0.14,9.33
55:35.6,Spring,13.16,77.69,2.34,671.37,100,0.13,12.85
55:35.6,Spring,14.67,33.36,4.03,516.82,164,0.21,14.59
55:35.6,Spring,17.2,33.88,13.49,325.27,136,0.18,7.25
55:35.6,Spring,16.24,78.54,12.62,252.32,87,0.12,11.69
55:35.6,Spring,11.99,75.7,13.87,882.18,140,0.25,13.09
55:35.6,Spring,17.2,49.22,14.17,91.73,94,0.24,9.85
55:35.6,Spring,18.48,32.96,3.02,241.21,86,0.15,13.66
55:35.6,Spring,10.57,64.42,2.54,799.59,88,0.23,7.06
55:35.6,Spring,13.01,78.45,13.92,603.1,20,0.28,12.32
55:35.6,Spring,16.96,62.41,8.07,513.68,25,0.2,7.75
55:35.6,Spring,19.9,79.78,18.07,438.85,22,0.1,6.3
55:35.6,Spring,14.18,52.97,13.82,378.28,16,0.15,8.01
55:35.6,Spring,14.27,44.69,10.19,85.57,16,0.08,8.02
55:35.6,Spring,10.95,42.33,13.94,455.2,20,0.07,10.67
55:35.6,Spring,15.94,67.5,10.67,723.62,24,0.09,11.94
55:35.6,Spring,15.26,36.59,15.16,69.11,30,0.08,15.27
55:35.6,Spring,16.79,51.74,15.36,475.38,16,0.1,13.06
55:35.6,Spring,16.01,42.19,14.38,328.83,21,0.06,12.26
55:35.6,Spring,14.98,54.07,9.91,781.8,7,0.15,4.33
55:35.6,Spring,16.46,76.23,4.96,549.95,24,0.11,13.43
55:35.6,Spring,16.55,71.83,13.45,743.85,16,0.14,7.47
55:35.6,Spring,14.25,61.13,2.05,515.5,90,0.15,12.57
55:35.6,Spring,17.09,43.52,0.98,62.56,154,0.26,16.73
55:35.6,Spring,18.32,76.17,18.18,981.01,100,0.18,14.6
55:35.6,Spring,16.3,55.4,11.12,56.18,165,0.21,13.48
55:35.6,Spring,18.37,55.3,12.03,185.97,56,0.2,13.06
55:35.6,Spring,12.98,39.48,6.67,380.41,85,0.21,10.4
55:35.6,Spring,19.82,48.98,17.66,72.35,186,0.17,12.93
55:35.6,Spring,14.59,38.58,16.36,925.34,161,0.28,15.64
55:35.6,Spring,11.97,36.23,3.19,696.45,120,0.19,9.2
55:35.6,Spring,15.71,69.51,14.33,646.49,141,0.17,14.02
55:35.6,Spring,19.95,59.93,9.31,716.57,62,0.14,10.66
55:35.6,Spring,16.59,48.56,4.24,713.95,17,0.29,9.83
55:35.6,Spring,15.33,55.44,16.28,279.65,20,0.27,6.1
55:35.6,Spring,15.41,60.99,3.24,841.53,9,0.13,9.44
55:35.6,Spring,10.76,49.98,7.98,408.42,27,0.13,13.11
55:35.6,Spring,16.87,57.61,3.72,735.17,23,0.07,5.22
55:35.6,Spring,16.48,35.26,15.72,664.61,27,0.06,6.79
55:35.6,Spring,15.35,61.32,8.61,616.77,13,0.07,8.48
55:35.6,Spring,18.8,31.94,1.03,934.35,13,0.06,13.33
55:35.6,Spring,14.37,43.6,16.04,146.05,10,0.08,8.8
55:35.6,Spring,19.95,59.18,13.48,516.14,12,0.08,7.08
55:35.6,Spring,14.36,57.19,7.11,473.28,9,0.06,8.46
55:35.6,Spring,19.57,30.21,18.44,100.17,12,0.08,8.76
55:35.6,Spring,17.16,44.71,7.13,120.71,5,0.07,5.69
55:35.6,Spring,17.95,77.83,4.44,711.54,130,0.18,14.99
55:35.6,Spring,14.65,73.35,10.16,529.28,200,0.23,9.84
55:35.6,Spring,13.8,40.97,15.31,119.76,132,0.15,17.09
55:35.6,Spring,10.87,33.1,3.58,537.23,197,0.17,11.86
55:35.6,Spring,12.41,35.67,17.47,201.91,141,0.11,14.87
55:35.6,Spring,19.17,35.07,13.15,652.7,88,0.19,11.97
55:35.6,Spring,13.9,51.15,9.97,377.9,80,0.16,15.41
55:35.6,Spring,10.61,72.82,16.51,668.08,155,0.24,12.11
55:35.6,Spring,15.07,67.56,10.6,8.86,161,0.18,9.28
55:35.6,Spring,10.32,51.12,13.16,951.95,199,0.1,11.38
55:35.6,Spring,19.12,59.58,17.9,221.54,184,0.13,9.42
55:35.6,Spring,10.26,47.55,1.57,795.24,28,0.14,12.6
55:35.6,Spring,19.73,53.32,11.82,605.58,6,0.23,7.21
55:35.6,Spring,10.2,55.36,3.64,109.18,26,0.09,13.33
55:35.6,Spring,13.79,33.53,7.18,862.74,29,0.1,11.01
55:35.6,Spring,10.91,45.16,19.57,914.4,28,0.05,7.66
55:35.6,Spring,16.31,55.57,11.81,361.73,17,0.12,9.41
55:35.6,Spring,10.4,45.67,5.35,214.22,9,0.1,6.05
55:35.6,Spring,15.46,45.66,2.68,763.54,21,0.13,12.63
55:35.6,Spring,19.41,75.17,9.25,562.56,10,0.14,11.1
55:35.6,Spring,11.32,43.49,16.25,516.62,7,0.13,12.55
55:35.6,Spring,12.56,40.99,5.58,479.41,5,0.1,8.5
55:35.6,Spring,12.83,54.93,3.48,84.24,16,0.07,9.56
55:35.6,Spring,18.81,68.41,9.62,798.73,9,0.11,7.97
55:35.6,Spring,18.66,34.94,16.47,44.97,86,0.18,11.19
55:35.6,Spring,19.42,79.95,12.36,996.75,152,0.3,10.87
55:35.6,Spring,16.86,60.29,1.77,100.91,191,0.29,12.11
55:35.6,Spring,13.13,64.73,7.44,747.88,88,0.21,14.71
55:35.6,Spring,17.66,49.08,7.98,529.73,68,0.25,11.24
55:35.6,Spring,15.23,44.05,14.12,647.3,104,0.2,6.96
55:35.6,Spring,11.07,62.9,12.69,768.7,187,0.11,13.82
55:35.6,Spring,17.3,45.68,0.3,546.16,59,0.2,8.7
55:35.6,Spring,15.55,37,6.03,917.36,111,0.28,14.73
55:35.6,Spring,12.71,52.85,17.49,851.85,75,0.21,7.66
55:35.6,Spring,15.49,43.53,10.97,538.16,101,0.28,12.86
55:35.6,Spring,13.37,75.55,4.21,188.51,7,0.28,9.77
55:35.6,Spring,14.3,60.51,5.72,347.24,12,0.29,5.85
55:35.6,Spring,10.04,71.66,7.2,527.29,29,0.07,8.79
55:35.6,Spring,18.3,46.66,13.23,283.53,26,0.15,7.77
55:35.6,Spring,12.19,52.96,14.69,7.92,13,0.13,8.56
55:35.6,Spring,14.45,66.86,6.99,184.28,26,0.1,14.91
55:35.6,Spring,19.64,66.73,2.44,864.88,35,0.09,13.68
55:35.6,Spring,12.69,40.81,6.99,545.57,13,0.07,14.24
55:35.6,Spring,10.79,41.8,11.36,614.96,14,0.07,4.51
55:35.6,Spring,12.4,46.57,9.68,692.53,38,0.13,14.13
55:35.6,Spring,13.84,63.65,8.73,254.63,6,0.14,6.37
55:35.6,Spring,14.46,41.34,18.87,908.61,15,0.11,4.43
55:35.6,Spring,11.49,56.02,16.27,207.87,11,0.09,8.85
55:35.6,Spring,15.03,66.9,19.73,275.4,41,0.18,12.88
55:35.6,Spring,17.13,53.6,14,260.27,38,0.22,7.97
55:35.6,Spring,10.05,36.58,12.62,792.26,7,0.24,8.01
55:35.6,Spring,15.64,39.16,6.82,177.57,7,0.29,9.69
55:35.6,Spring,10.16,72.15,10.77,352.52,28,0.26,7.64
55:35.6,Spring,17.43,37,7.34,123.18,7,0.27,8.03
55:35.6,Spring,14.76,77.26,0.87,403.08,42,0.2,15.11
55:35.6,Spring,13.33,62.31,18.37,464.49,18,0.2,6.73
55:35.6,Spring,14.63,35.04,16.24,985.21,48,0.14,9.7
55:35.6,Spring,17.83,74.13,6.73,619.61,16,0.19,8.28
55:35.6,Spring,19.69,30.61,4.45,275.19,49,0.12,10.82
55:35.6,Spring,10.91,55.58,1.18,303.24,30,0.28,5.64
55:35.6,Spring,14.64,31.19,11.68,605.42,47,0.22,7.15
55:35.6,Spring,14.67,70.43,15.62,910.71,21,0.13,5.54
55:35.6,Spring,14.9,46.29,14.38,920.83,41,0.08,13.48
55:35.6,Spring,16.7,68.62,18.23,842.05,49,0.12,11.66
55:35.6,Spring,16.32,67.68,1.71,713.68,5,0.06,4.88
55:35.6,Spring,14.71,33.7,4.48,718.32,16,0.07,7.5
55:35.6,Spring,11.15,62.43,16.46,620.6,29,0.07,9.48
55:35.6,Spring,12.09,38.77,8.13,355.54,19,0.11,10.61
55:35.6,Spring,12.59,69.75,16.13,67.25,46,0.06,6.84
55:35.6,Spring,11.66,30.33,1.09,795.61,36,0.12,5.4
55:35.6,Spring,19.88,74.92,19.8,979,8,0.09,5.36
55:35.6,Spring,12.52,61.41,11.99,611.13,49,0.12,9.77
55:35.6,Spring,16.41,70.47,2.48,682.96,11,0.13,8.83
55:35.6,Spring,17.79,34.72,18.04,190.17,25,0.19,6.84
55:35.6,Spring,11.22,51.89,1.23,699.67,41,0.15,10.01
55:35.6,Spring,11.46,57.99,1.04,248.9,47,0.24,9.47
55:35.6,Spring,19.06,52.99,9.36,681.32,16,0.29,4.6
55:35.6,Spring,18.4,73.69,11.73,460.32,44,0.25,11.37
55:35.6,Spring,15.74,42.52,3.21,818.07,34,0.24,7.75
55:35.6,Spring,19.35,68.02,13.91,295.25,35,0.25,7.42
55:35.6,Spring,13.99,64.33,1.03,284.85,48,0.15,7.27
55:35.6,Spring,18.96,65.76,5.92,780.47,40,0.18,11.98
55:35.6,Spring,12.28,69.87,2.96,679.4,7,0.26,10.74
55:35.6,Spring,12.17,68.05,6.27,170.55,20,0.22,7.09
55:35.6,Spring,15.66,49.79,5.86,965.31,22,0.12,8.74
55:35.6,Spring,10.5,64.31,8,724.73,30,0.08,7.62
55:35.6,Spring,17.41,48.03,11.31,863.38,48,0.09,5.82
55:35.6,Spring,17.77,38.23,5.55,369.04,41,0.07,6.18
55:35.6,Spring,14.93,78.15,18.07,197.93,13,0.15,8.06
55:35.6,Spring,13.72,57.27,5.86,781.28,10,0.06,13.55
55:35.6,Spring,13.38,44.51,18.05,912.73,8,0.15,11.15
55:35.6,Spring,19.86,31.98,1.23,154.78,16,0.08,13.83
55:35.6,Spring,15.71,67.35,2.79,560.72,6,0.1,4.74
55:35.6,Spring,16.5,41.1,7.13,576.55,13,0.11,8.24
55:35.6,Spring,18.56,71.99,1.53,451.02,13,0.13,12.3
55:35.6,Spring,12.58,59.93,17.84,677.24,15,0.11,9.57
55:35.6,Spring,17.61,39.98,16.85,543.6,170,0.11,13.61
55:35.6,Spring,15.71,50.44,6.74,614.05,129,0.14,13.09
55:35.6,Spring,18.2,36.23,4.15,939.78,165,0.3,9.03
55:35.6,Spring,14.17,74.87,16.57,986.79,96,0.16,7.75
55:35.6,Spring,15.02,74.06,2.1,433.14,119,0.2,16.04
55:35.6,Spring,14.33,38.03,14.44,198.95,194,0.29,16.92
55:35.6,Spring,16.2,42.13,11.62,860.7,119,0.16,15.74
55:35.6,Spring,15.11,42.99,4.04,686.76,124,0.27,13.3
55:35.6,Spring,15.2,77.03,15.86,651.17,162,0.18,16.31
55:35.6,Spring,17.09,53.2,2.29,936.15,148,0.24,6.92
55:35.6,Spring,14.2,48.3,8.69,141.77,113,0.17,15.59
55:35.6,Spring,15.71,67.95,13.21,289.05,25,0.23,14.96
55:35.6,Spring,16.98,61.01,18.19,890.9,5,0.11,9.44
55:35.6,Spring,17.06,64.82,15.56,619.58,16,0.1,8.76
55:35.6,Spring,17.57,51.67,15.18,93.33,7,0.13,13.56
55:35.6,Spring,16.9,60.52,17.38,264.2,5,0.06,10.4
55:35.6,Spring,19.3,44.14,16.62,315.59,19,0.1,8.88
55:35.6,Spring,12.21,32.85,2.8,530.3,8,0.12,13.51
55:35.6,Spring,11.06,64.14,16.29,713.48,26,0.08,4.69
55:35.6,Spring,16.12,43.39,3.88,955.9,28,0.06,8.42
55:35.6,Spring,18.41,40.62,14.45,748.19,14,0.13,13.5
55:35.6,Spring,17.82,66.59,17.39,667.68,20,0.12,4.16
55:35.6,Spring,15.58,69.38,0.09,426.63,12,0.12,5.45
55:35.6,Spring,19.62,71.87,7.77,728.96,13,0.09,8.68
55:35.6,Spring,19.44,62.31,10.58,547.43,154,0.27,7.66
55:35.6,Spring,19.2,65.09,10.5,982.87,119,0.21,13.11
55:35.6,Spring,18.96,51.21,7.21,349.64,189,0.16,15.57
55:35.6,Spring,19.38,32.11,0.07,104.26,175,0.22,8.57
55:35.6,Spring,13.13,69.87,15.02,513.3,87,0.14,10.04
55:35.6,Spring,11.78,55.55,0.73,843.52,75,0.14,13.35
55:35.6,Spring,17.63,38.24,6.22,670.62,68,0.21,7.37
55:35.6,Spring,18.33,39.56,12.61,298.34,174,0.25,17.17
55:35.6,Spring,18.75,39.57,3.12,726.22,196,0.11,16.97
55:35.6,Spring,11.08,77.49,16.4,694.38,186,0.23,11.51
55:35.6,Spring,10.38,79.42,12.33,43.94,177,0.11,12.76
55:35.6,Spring,16.33,55.63,17.6,776.73,23,0.11,12.38
55:35.6,Spring,19.25,54.22,19.49,38.83,16,0.24,6.46
55:35.6,Spring,18.54,77.41,16.57,407.77,11,0.07,8.43
55:35.6,Spring,14.29,57.75,16.41,80.41,8,0.14,12.65
55:35.6,Spring,10.18,58.47,3.9,838.16,7,0.07,9.4
55:35.6,Spring,11.24,36.55,19.15,362.77,25,0.14,14.31
55:35.6,Spring,13.95,54.06,16.44,250.62,18,0.06,7.28
55:35.6,Spring,10.55,39.12,17.54,577.71,28,0.15,14.47
55:35.6,Spring,17.64,57.85,14.45,223.43,26,0.1,10.76
55:35.6,Spring,18.15,71.92,15.63,583.19,29,0.13,7.74
55:35.6,Spring,18.17,52.25,7.93,466.93,9,0.07,10.95
55:35.6,Spring,15.99,42.81,5.56,179.6,10,0.06,10.84
55:35.6,Spring,13.74,30.05,4.41,771.36,22,0.14,9.51
55:35.6,Spring,19.62,30.35,9.1,119.41,91,0.14,11.67
55:35.6,Spring,15.3,68.02,13.02,206.91,56,0.23,11.01
55:35.6,Spring,17.45,30.9,2.77,253.54,95,0.28,16.49
55:35.6,Spring,19.86,68.13,14.91,568.69,173,0.14,12.8
55:35.6,Spring,17.14,64.95,15.05,713.04,100,0.12,12.67
55:35.6,Spring,19.92,65.22,14.6,173.84,126,0.12,9.2
55:35.6,Spring,15.96,67.56,4.87,114.74,136,0.15,12.83
55:35.6,Spring,18.15,55.39,19.88,129.83,93,0.28,12.57
55:35.6,Spring,19.95,53.23,0.17,199.15,59,0.11,15.32
55:35.6,Spring,17.73,54,8.28,30.51,190,0.27,10.14
55:35.6,Spring,12.87,32.71,11.87,344.51,140,0.22,8.41
55:35.6,Spring,10.61,60.86,11.97,44.97,17,0.12,12.95
55:35.6,Spring,11.11,49.88,8.84,479,26,0.13,14.08
55:35.6,Spring,15.29,73.01,19.16,732.57,28,0.13,9.04
55:35.6,Spring,16.73,45.78,7.03,921.29,23,0.13,13.47
55:35.6,Spring,14.03,32.97,5.96,845.18,8,0.11,8.23
55:35.6,Spring,13.51,56.86,0.23,354.22,15,0.14,9.63
55:35.6,Spring,18.99,75.62,18.35,627.39,29,0.14,7.96
55:35.6,Spring,17,66.73,16.76,513.99,29,0.12,7.06
55:35.6,Spring,17.12,71.24,19.37,65.16,17,0.05,10.19
55:35.6,Spring,10.86,67.54,10.39,783.98,26,0.11,11.6
55:35.6,Spring,18.57,75.89,13.97,99.76,25,0.09,7.85
55:35.6,Spring,14.36,45.75,4.12,924.53,10,0.1,6.64
55:35.6,Spring,16.16,60.19,5.95,809.03,14,0.06,13.51
55:35.6,Spring,19.18,51.89,11.99,194.68,99,0.12,15.97
55:35.6,Spring,18.96,78.1,1.53,902.21,113,0.26,7.88
55:35.6,Spring,16.73,55.84,8.24,577.77,100,0.22,10.13
55:35.6,Spring,10.26,34.29,8.57,805.85,50,0.25,7.17
55:35.6,Spring,15.32,70.85,11.55,523.46,66,0.17,14.69
55:35.6,Spring,10.2,48.28,11.74,736.67,193,0.25,11.65
55:35.6,Spring,11.35,75.56,18.71,340.86,84,0.21,16.03
55:35.6,Spring,19.81,45.75,1.28,296.72,153,0.23,16.39
55:35.6,Spring,15.63,33.8,17.4,710.5,162,0.19,13.69
55:35.6,Spring,19.48,46.36,17.21,901.59,113,0.21,8.62
55:35.6,Spring,12.89,78.07,7.05,488.18,58,0.22,8.27
55:35.6,Spring,19.44,73.28,18.67,95.43,14,0.11,14.44
55:35.6,Spring,19.63,58.9,15.85,416.09,18,0.18,9.5
55:35.6,Spring,17.87,55.99,5.76,463.3,26,0.06,9.63
55:35.6,Spring,17.29,67.1,14.65,220.14,19,0.14,12.26
55:35.6,Spring,14.73,68.92,13.17,322.63,20,0.07,5.87
55:35.6,Spring,12.31,74.43,5.44,747.55,23,0.15,12.33
55:35.6,Spring,17.42,77.19,8.84,755.96,16,0.14,12.78
55:35.6,Spring,16.79,40.24,16.15,174.3,9,0.12,14.48
55:35.6,Spring,19.33,46.68,10.72,719.87,21,0.1,6.19
55:35.6,Spring,17.38,48.67,2.86,558.8,8,0.11,8.87
55:35.6,Spring,13.84,63.49,2.82,141.36,29,0.06,9.44
55:35.6,Spring,19.33,42.04,1.42,582.05,25,0.14,11.14
55:35.6,Spring,18.21,66.73,2.5,179.68,13,0.15,11.48
55:35.6,Spring,16.58,69.8,13.59,791.96,80,0.24,10.29
55:35.6,Spring,16.5,58.79,14.58,731.66,182,0.26,11.44
55:35.6,Spring,19.2,37.78,17.28,156.73,177,0.29,11.52
55:35.6,Spring,17.22,75.18,2.72,326.91,97,0.23,11.03
55:35.6,Spring,15.54,36.33,11.96,653.64,104,0.27,8.49
55:35.6,Spring,12.9,66.04,15.35,951.78,138,0.15,11.23
55:35.6,Spring,10.47,44.03,19.99,788.39,116,0.17,15.46
55:35.6,Spring,13.06,31.55,15.55,724.36,191,0.28,14.7
55:35.6,Spring,12.66,72.68,19.15,582.64,50,0.29,13.11
55:35.6,Spring,17.96,59.23,13.76,443.11,172,0.15,9.94
55:35.6,Spring,15.68,40.42,11.25,32.03,185,0.27,12.92
55:35.6,Spring,10.81,71.62,1.63,265.29,25,0.27,11.6
55:35.6,Spring,11.51,72.63,19.89,359.25,28,0.29,12.74
55:35.6,Spring,18.03,68.2,16.46,952.29,16,0.12,4.23
55:35.6,Spring,14.5,69.26,16.79,843.63,10,0.11,8.3
55:35.6,Spring,13.59,48.97,2.66,763.8,17,0.08,12.63
55:35.6,Spring,11.63,45.01,18.51,842.64,13,0.06,7.39
55:35.6,Spring,18.45,55.94,3.54,421.61,19,0.1,5.82
55:35.6,Spring,15.91,41.57,2.84,428.67,46,0.09,10.1
55:35.6,Spring,17.09,57.25,4.32,181.79,23,0.1,9.27
55:35.6,Spring,18.86,42.77,12.39,413.98,12,0.09,10.68
55:35.6,Spring,16.12,56.85,15.6,719.18,17,0.09,4.6
55:35.6,Spring,14.5,33.81,5,124.84,14,0.1,13.06
55:35.6,Spring,13.9,56.75,13.21,961.79,31,0.12,7.17
55:35.6,Spring,19.44,36.96,15.92,38.16,39,0.11,9.48
55:35.6,Spring,16.09,33.56,17.58,856.14,29,0.29,8.21
55:35.6,Spring,17.05,40.57,18.45,850,9,0.3,11.35
55:35.6,Spring,16.6,75.8,11.67,884.8,16,0.21,8.71
55:35.6,Spring,12.42,78.95,19.3,777.57,28,0.27,6.12
55:35.6,Spring,11.43,49.66,2.99,368.76,30,0.13,10.01
55:35.6,Spring,11.41,52.05,14.11,252.88,36,0.11,14.6
55:35.6,Spring,14.47,64.89,5.4,482.1,24,0.29,14.39
55:35.6,Spring,14.42,54.07,7.27,403.37,44,0.25,7.4
55:35.6,Spring,16.89,79.07,18.47,794.27,45,0.26,10.57
55:35.6,Spring,11.36,64.34,8.63,368.77,32,0.18,9.22
55:35.6,Spring,17.16,67.09,9.25,583.42,8,0.21,4.31
55:35.6,Spring,16.12,65.89,15.52,759.95,10,0.24,10.9
55:35.6,Spring,13.1,46.1,12.87,295.86,37,0.12,6.63
55:35.6,Spring,18.33,37.76,18.92,304.28,31,0.05,7.39
55:35.6,Spring,14.78,61.83,3.74,820,15,0.1,5.9
55:35.6,Spring,19.23,60.04,19.72,63.5,20,0.12,8.98
55:35.6,Spring,17.15,34.54,8.2,246.85,20,0.08,14.94
55:35.6,Spring,19.49,78.12,4.11,984.86,26,0.11,5.89
55:35.6,Spring,10.54,51.64,6.37,906.48,5,0.12,7.55
55:35.6,Spring,19.33,34.15,7.75,815.26,30,0.13,10.63
55:35.6,Spring,18.04,36.23,16.15,516.14,46,0.05,5.34
55:35.6,Spring,18.74,49.91,5.79,194.54,50,0.15,10.02
55:35.6,Spring,13.84,74.96,6.65,491.38,37,0.13,12.11
55:35.6,Spring,11.1,73.73,10.54,995.64,40,0.28,8.03
55:35.6,Spring,14.32,41.39,16.83,540.82,40,0.11,11.31
55:35.6,Spring,14.86,75.98,19.49,802.93,10,0.15,10.28
55:35.6,Spring,17.58,53.33,0.68,957.64,10,0.3,7.01
55:35.6,Spring,12.1,47.31,15.69,883.65,23,0.16,7.29
55:35.6,Spring,12.86,49.14,4.82,309.68,50,0.17,8.42
55:35.6,Spring,13.17,74.59,0.56,676.06,12,0.2,6.81
55:35.6,Spring,15.05,51.33,17.85,925.24,28,0.15,8.72
55:35.6,Spring,16.98,54.4,1.58,32.81,12,0.14,5.36
55:35.6,Spring,16.86,45.22,9.2,267.74,30,0.14,9.42
55:35.6,Spring,17.79,64.42,5.71,972.39,35,0.28,7.61
55:35.6,Spring,13.46,38.55,18.35,321.37,35,0.23,10.42
55:35.6,Spring,18.4,46.65,12.62,826.87,22,0.3,10.45
55:35.6,Spring,18.4,55.38,7.35,508.59,42,0.08,10.36
55:35.6,Spring,19.06,39.33,15.49,189.92,37,0.06,12.84
